Complexity metrics,Fri, 25 May 2018 21:34:14 EEST
Method,ev(G),iv(G),v(G)
"gr.aueb.softeng.project1806.ExampleInstrumentedTest.useAppContext()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.addBusTimetable()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.addLeg()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.addLine()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.addLocation()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.addStop()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.findExistingLineByCOde()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.findExistingLineByName()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.findExistingStopById()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.findExistingStopByLocation()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.findExistingStopByName()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.findNonExistingLineByCode()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.findNonExistingLineByName()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.findNonExistingStopById()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.findNonExistingStopByLocation()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.findNonExistingStopByName()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.listAllBusTimetables()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.listAllLegs()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.listAllLines()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.listAllLocations()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.listAllStops()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.removeBusTimetable()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.removeLeg()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.removeLine()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.removeLocation()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.removeStop()",1,1,1
"gr.aueb.softeng.project1806.dao.DAOTest.setUp()",1,1,1
"gr.aueb.softeng.project1806.dao.Initializer.prepareData()",1,1,1
"gr.aueb.softeng.project1806.memorydao.BusTimetableDAOMemory.add(BusTimetable)",1,1,1
"gr.aueb.softeng.project1806.memorydao.BusTimetableDAOMemory.findAll()",1,1,1
"gr.aueb.softeng.project1806.memorydao.BusTimetableDAOMemory.remove(BusTimetable)",1,1,1
"gr.aueb.softeng.project1806.memorydao.LegDAOMemory.add(Leg)",1,1,1
"gr.aueb.softeng.project1806.memorydao.LegDAOMemory.findAll()",1,1,1
"gr.aueb.softeng.project1806.memorydao.LegDAOMemory.remove(Leg)",1,1,1
"gr.aueb.softeng.project1806.memorydao.LineDAOMemory.add(Line)",1,1,1
"gr.aueb.softeng.project1806.memorydao.LineDAOMemory.findAll()",1,1,1
"gr.aueb.softeng.project1806.memorydao.LineDAOMemory.remove(Line)",1,1,1
"gr.aueb.softeng.project1806.memorydao.LineDAOMemory.searchLineByCode(String)",3,2,3
"gr.aueb.softeng.project1806.memorydao.LineDAOMemory.searchLineByName(String)",3,2,3
"gr.aueb.softeng.project1806.memorydao.LocationDAOMemory.add(Location)",1,1,1
"gr.aueb.softeng.project1806.memorydao.LocationDAOMemory.findAll()",1,1,1
"gr.aueb.softeng.project1806.memorydao.LocationDAOMemory.remove(Location)",1,1,1
"gr.aueb.softeng.project1806.memorydao.MemoryInitializer.eraseData()",1,6,6
"gr.aueb.softeng.project1806.memorydao.MemoryInitializer.getBusTimetableDAO()",1,1,1
"gr.aueb.softeng.project1806.memorydao.MemoryInitializer.getLegDAO()",1,1,1
"gr.aueb.softeng.project1806.memorydao.MemoryInitializer.getLineDAO()",1,1,1
"gr.aueb.softeng.project1806.memorydao.MemoryInitializer.getLocationDAO()",1,1,1
"gr.aueb.softeng.project1806.memorydao.MemoryInitializer.getStopDAO()",1,1,1
"gr.aueb.softeng.project1806.memorydao.StopDAOMemory.add(Stop)",1,1,1
"gr.aueb.softeng.project1806.memorydao.StopDAOMemory.findAll()",1,1,1
"gr.aueb.softeng.project1806.memorydao.StopDAOMemory.remove(Stop)",1,1,1
"gr.aueb.softeng.project1806.memorydao.StopDAOMemory.searchStopByID(int)",3,2,3
"gr.aueb.softeng.project1806.memorydao.StopDAOMemory.searchStopByLocation(Location)",1,3,3
"gr.aueb.softeng.project1806.memorydao.StopDAOMemory.searchStopByName(String)",3,2,3
"gr.aueb.softeng.project1806.model.BusTimetable.BusTimetable()",1,1,1
"gr.aueb.softeng.project1806.model.BusTimetable.BusTimetable(Time,String)",1,1,1
"gr.aueb.softeng.project1806.model.BusTimetable.addLeg(Leg)",1,2,2
